estado,unidade,tipo_unidade,unidade_original,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales,categoria_preliminar,filtro_bosque_pct,categoria_definitiva,_status
Caracas,Parroquia San Pedro,parroquia,Caracas - Parroquia San Pedro,66539,Localidad mediana,5,,,3,Desierto,,Desierto,ok
Caracas,Parroquia Santa Rosalía,parroquia,Caracas - Parroquia Santa Rosalía,90691,Localidad mediana,8,,,5,Semidesierto,,Semidesierto,ok
Caracas,Parroquia Santa Teresa,parroquia,Caracas - Parroquia Santa Teresa,26560,Localidad mediana,8,,,5,Semidesierto,,Semidesierto,ok
Caracas,Parroquia Sucre,parroquia,Caracas - Parroquia Sucre,319109,Localidad grande,13,,,7,Semibosque,,Semibosque,ok
Cojedes,Anzoátegui (Cojedito),municipio,Cojedes - Anzoátegui (Cojedito),16523,Localidad pequeña,9,9,6,2,Desierto,,Desierto,ok
Cojedes,Falcón (Tinaquillo),municipio,Cojedes - Falcón (Tinaquillo),101913,Localidad grande,14,14,10,1,Desierto,,Desierto,ok
Cojedes,Girardot (El Baúl),municipio,Cojedes - Girardot (El Baúl),11569,Localidad pequeña,9,9,6,2,Desierto,,Desierto,ok
Cojedes,Lima Blanco (Macapo),municipio,Cojedes - Lima Blanco (Macapo),9272,Localidad pequeña,8,8,7,1,Desierto,,Desierto,ok
Cojedes,Pao de San Juan Bautista (El Pao),municipio,Cojedes - Pao de San Juan Bautista (El Pao),16270,Localidad pequeña,9,9,5,2,Desierto,,Desierto,ok
Cojedes,Ricaurte (Libertad),municipio,Cojedes - Ricaurte (Libertad),12319,Localidad pequeña,8,8,5,2,Desierto,,Desierto,ok
Cojedes,Rómulo Gallegos,municipio,Cojedes - Rómulo Gallegos,17730,Localidad pequeña,12,12,6,2,Desierto,,Desierto,ok
Cojedes,Ezequiel Zamora (San Carlos),municipio,Cojedes - Ezequiel Zamora (San Carlos),111463,Localidad grande,15,15,12,1,Desierto,,Desierto,ok
Cojedes,Tinaco,municipio,Cojedes - Tinaco,33556,Localidad mediana,12,12,8,1,Desierto,,Desierto,ok
